place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query,short_description
ChIJj1_fsAuJsIkRdHJlsvf3dXo,Merchants Square Historic District,Planned 1920s shopping village adjoining the Historic Area; early example of Colonial Revival urbanism.,,5036,4.7,,https://www.merchantssquare.org/,(757) 229-1000,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"134 N Henry St, Williamsburg, VA 23185",,https://www.merchantssquare.org/,Williamsburg historic attraction,"Merchants Square blends historic charm with vibrant modern energy. Established in the 1930s, it was one of America’s first planned shopping districts. Visitors can stroll brick-lined streets filled with boutiques, restaurants, and seasonal markets. The lively ambiance connects colonial architecture with contemporary culture."
ChIJzZPIUgqJsIkRc7cYqDfnwdY,Kimball Theatre,"Historic theater and community arts venue hosting film, talks, and performances in Merchants Square.",,158,4.6,,https://www.colonialwilliamsburg.org/discover/historic-area/historic-places/kimball-theatre/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"428 W Duke of Gloucester St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/discover/historic-area/historic-places/kimball-theatre/,Williamsburg historic attraction,"The Kimball Theatre offers a cultural experience that bridges history and the performing arts. Opened in 1933, the theater hosts film screenings, live music, and stage productions. Visitors can enjoy entertainment in an intimate setting surrounded by colonial‑style architecture. It remains a cornerstone of Williamsburg’s artistic life."
ChIJTfGhKw-JsIkRk8lnLd6HYmM,Brush‑Everard House,Restored home illustrating gentry life and changes through Williamsburg’s history.,,13,4.5,,https://www.colonialwilliamsburg.org/discover/historic-area/historic-places/everard-house/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"214 Palace Green St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/discover/historic-area/historic-places/everard-house/,Williamsburg historic attraction,"The Brush‑Everard House invites visitors to explore one of Williamsburg’s finest restored homes. Built in the early 18th century, it showcases period furnishings and the stories of two influential families. The gardens and woodwork capture the refinement of Williamsburg’s golden age. It’s a highlight for lovers of architecture and history."
ChIJ5_KNcAmJsIkR56p8_xZs4Vg,Charlton’s Coffeehouse,"Recreated 1760s coffeehouse offering stories of politics, newspapers, and hot chocolate culture.",,24,4.7,,https://research.colonialwilliamsburg.org/projects/coffeehouse/,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"429 E Duke of Gloucester St, Williamsburg, VA 23185",,https://research.colonialwilliamsburg.org/projects/coffeehouse/,Williamsburg historic attraction,"Charlton’s Coffeehouse brings the social life of 18th‑century Williamsburg to life. Guests experience a colonial gathering place where news, politics, and conversation brewed alongside coffee and chocolate. The reconstructed building features period décor and lively interpretation. It’s an evocative stop for imagining daily life in pre‑Revolutionary Virginia."
ChIJV6kTQQaJsIkRlIF7i82rH14,Carter‑Saunders House,Notable residence on Palace Green associated with Revolutionary‑era figures.,,221,4.5,,https://research.colonialwilliamsburg.org/DigitalLibrary/view/index.cfm?doc=ResearchReports%5CRR1604.xml,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"232-236 Palace St, Williamsburg, VA 23185",,https://research.colonialwilliamsburg.org/DigitalLibrary/view/index.cfm?doc=ResearchReports%5CRR1604.xml,Williamsburg historic attraction,The Carter‑Saunders House exemplifies Williamsburg’s genteel domestic life. Preserved architecture and refined interiors reveal the craftsmanship of the 18th century. Visitors can admire balanced Georgian design and layered historical context. The site embodies elegance and endurance from the city’s early days.
ChIJV6kTQQaJsIkRlIF7i82rH14,Anderson Blacksmith Shop & Public Armoury,"Working smithy demonstrating tools, weapons making, and the craft economy of the 1770s.",,110,4.4,,https://www.colonialwilliamsburg.org/locations/anderson-blacksmith-shop-and-public--armoury,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"310 E Duke of Gloucester St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/locations/anderson-blacksmith-shop-and-public--armoury,Williamsburg historic attraction,"At the Anderson Blacksmith Shop and Public Armoury, the clang of hammer on anvil recreates the industrious spirit of the Revolution. Skilled artisans demonstrate metalworking used to supply soldiers with weapons and tools. Visitors can watch the process and appreciate the skill of colonial trades. It’s a lively, sensory journey into Williamsburg’s working past."
ChIJ95TFoQiJsIkRN2AkgAnB47o,King’s Arms Barber & Peruke Maker (Exhibit),"Interpretive site on colonial grooming, wigs, and social status.",,297,4.1,,https://research.colonialwilliamsburg.org/DigitalLibrary/view/index.cfm?doc=ResearchReports%5CRR1156.xml,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"412 E Duke of Gloucester St, Williamsburg, VA 23185",,https://www.hmdb.org/m.asp?m=227035,Williamsburg historic attraction,This exhibit showcases the artistry of 18th‑century wig making and grooming. Visitors learn how hair fashion reflected status and identity in colonial society. The detailed tools and materials highlight the precision of the craft. It offers a rare glimpse into one of Williamsburg’s fashionable trades.
ChIJe7dzHACJsIkRXTqXlrQOqR0,First Baptist Church (historic site on Nassau St.),One of America’s earliest Black congregations; ongoing archaeology and interpretation of faith and resilience.,,145,4.8,,https://www.colonialwilliamsburg.org/discover/historic-area/historic-places/african-baptist-meeting-house-and-burial-ground/,(757) 229-1952,,,,,Historic Attraction,Historic Site; Museum; Walking,,,,"Nassau St, Colonial Williamsburg, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/discover/historic-area/historic-places/african-baptist-meeting-house-and-burial-ground/,Williamsburg historic attraction,"The First Baptist Church on Nassau Street represents one of America’s earliest African American congregations. Visitors can explore the archaeological site and learn about ongoing efforts to uncover its history. The church’s story is one of faith, resilience, and cultural preservation. It stands as a vital testament to Williamsburg’s diverse heritage."
ChIJIQZuHEWJsIkR43omJ86gRA8,Williamsburg Bray School Site,Historic site tied to an 18th‑century school for enslaved and free Black children; active research and preservation.,,92,4.7,,https://www.colonialwilliamsburg.org/events/williamsburg-bray-school/,(757) 221-4000,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"331 W Francis St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/events/williamsburg-bray-school/,Williamsburg historic attraction,The Williamsburg Bray School Site honors an early educational institution for African American children. Exhibits share its 18th‑century mission to teach literacy and faith. The relocated school building now serves as a center for research and remembrance. Its legacy inspires dialogue about equality and education.
ChIJJfPxzwOJsIkRci0GrgZpN94,Benjamin Powell House,Town house illustrating tradespeople’s lives and urban domestic spaces in the 1700s.,,274,4.3,,https://www.hmdb.org/m.asp?m=228198,(888) 965-7254,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"109 N Waller St, Williamsburg, VA 23185",,https://www.hmdb.org/m.asp?m=228198,Williamsburg historic attraction,"The Benjamin Powell House offers an intimate look at family life in 18th‑century Williamsburg. Restored to its colonial appearance, it features interactive exhibits and hands‑on activities. Visitors can explore daily routines of the Powell family and their enslaved workers. It is both educational and engaging."
ChIJ95TFoQiJsIkRpLMTD3BALhU,Chowning’s Yard & Trades Area (Exhibit),Outdoor interpretation yard illustrating artisan skills and daily colonial work.,,180,4.7,,https://www.colonialwilliamsburg.org/stay-play/dining/historic-taverns/chownings-garden-bar/,(855) 318-9795,,,,,Historic Attraction,Historic Site; Museum; Walking,Daily 10 AM–5 PM,,,"109 E Duke of Gloucester St, Williamsburg, VA 23185",,https://www.colonialwilliamsburg.org/stay-play/dining/historic-taverns/chownings-garden-bar/,Williamsburg historic attraction,"Chowning’s Yard & Trades Area captures the lively character of colonial industry and leisure. Adjacent to the historic tavern, it features artisans, outdoor seating, and seasonal demonstrations. Visitors can enjoy refreshments while watching tradespeople at work. It’s a welcoming blend of craftsmanship, hospitality, and open‑air history."
